class_group,hit_count,input_type,mask_name,pd,protocol,sir_name,split_definition,target_count,target_pfa,target_scope,target_sir_db,threshold_source
pedestrian_like,174,interfered,narrow,0.5761589403973509,B_fixed_pfa_recalibrated,light,clean_peak_percentile,302,0.01,non_overlap_only,10.0,input_specific_validation_background
vehicle_like,175,interfered,narrow,0.5756578947368421,B_fixed_pfa_recalibrated,light,clean_peak_percentile,304,0.01,non_overlap_only,10.0,input_specific_validation_background
cyclist_like,325,interfered,narrow,0.5354200988467874,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,607,0.01,all,0.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,0,0.01,all,0.0,input_specific_validation_background
pedestrian_like,239,interfered,narrow,0.44756554307116103,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,534,0.01,all,0.0,input_specific_validation_background
vehicle_like,654,interfered,narrow,0.5207006369426752,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,1256,0.01,all,0.0,input_specific_validation_background
cyclist_like,87,interfered,narrow,0.31985294117647056,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,272,0.01,non_overlap_only,0.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,0,0.01,non_overlap_only,0.0,input_specific_validation_background
pedestrian_like,133,interfered,narrow,0.44039735099337746,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,302,0.01,non_overlap_only,0.0,input_specific_validation_background
vehicle_like,149,interfered,narrow,0.4901315789473684,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,304,0.01,non_overlap_only,0.0,input_specific_validation_background
cyclist_like,170,interfered,narrow,0.2800658978583196,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,607,0.01,all,-10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,0,0.01,all,-10.0,input_specific_validation_background
pedestrian_like,41,interfered,narrow,0.07677902621722846,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,534,0.01,all,-10.0,input_specific_validation_background
vehicle_like,346,interfered,narrow,0.2754777070063694,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,1256,0.01,all,-10.0,input_specific_validation_background
cyclist_like,25,interfered,narrow,0.09191176470588236,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,272,0.01,non_overlap_only,-10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,0,0.01,non_overlap_only,-10.0,input_specific_validation_background
pedestrian_like,14,interfered,narrow,0.046357615894039736,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,302,0.01,non_overlap_only,-10.0,input_specific_validation_background
vehicle_like,7,interfered,narrow,0.023026315789473683,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,304,0.01,non_overlap_only,-10.0,input_specific_validation_background
cyclist_like,344,clean,narrow,0.5667215815485996,A_clean_threshold,,clean_peak_percentile,607,0.001,all,,clean_validation_background
motorbike_like,0,clean,narrow,,A_clean_threshold,,clean_peak_percentile,0,0.001,all,,clean_validation_background
pedestrian_like,260,clean,narrow,0.4868913857677903,A_clean_threshold,,clean_peak_percentile,534,0.001,all,,clean_validation_background
vehicle_like,670,clean,narrow,0.5334394904458599,A_clean_threshold,,clean_peak_percentile,1256,0.001,all,,clean_validation_background
cyclist_like,103,clean,narrow,0.3786764705882353,A_clean_threshold,,clean_peak_percentile,272,0.001,non_overlap_only,,clean_validation_background
motorbike_like,0,clean,narrow,,A_clean_threshold,,clean_peak_percentile,0,0.001,non_overlap_only,,clean_validation_background
pedestrian_like,145,clean,narrow,0.48013245033112584,A_clean_threshold,,clean_peak_percentile,302,0.001,non_overlap_only,,clean_validation_background
vehicle_like,156,clean,narrow,0.5131578947368421,A_clean_threshold,,clean_peak_percentile,304,0.001,non_overlap_only,,clean_validation_background
cyclist_like,343,interfered,narrow,0.5650741350906096,A_clean_threshold,light,clean_peak_percentile,607,0.001,all,10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,light,clean_peak_percentile,0,0.001,all,10.0,clean_validation_background
pedestrian_like,258,interfered,narrow,0.48314606741573035,A_clean_threshold,light,clean_peak_percentile,534,0.001,all,10.0,clean_validation_background
vehicle_like,670,interfered,narrow,0.5334394904458599,A_clean_threshold,light,clean_peak_percentile,1256,0.001,all,10.0,clean_validation_background
cyclist_like,102,interfered,narrow,0.375,A_clean_threshold,light,clean_peak_percentile,272,0.001,non_overlap_only,10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,light,clean_peak_percentile,0,0.001,non_overlap_only,10.0,clean_validation_background
pedestrian_like,143,interfered,narrow,0.4735099337748344,A_clean_threshold,light,clean_peak_percentile,302,0.001,non_overlap_only,10.0,clean_validation_background
vehicle_like,156,interfered,narrow,0.5131578947368421,A_clean_threshold,light,clean_peak_percentile,304,0.001,non_overlap_only,10.0,clean_validation_background
cyclist_like,331,interfered,narrow,0.5453047775947282,A_clean_threshold,medium,clean_peak_percentile,607,0.001,all,0.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,medium,clean_peak_percentile,0,0.001,all,0.0,clean_validation_background
pedestrian_like,245,interfered,narrow,0.45880149812734083,A_clean_threshold,medium,clean_peak_percentile,534,0.001,all,0.0,clean_validation_background
vehicle_like,667,interfered,narrow,0.5310509554140127,A_clean_threshold,medium,clean_peak_percentile,1256,0.001,all,0.0,clean_validation_background
cyclist_like,91,interfered,narrow,0.33455882352941174,A_clean_threshold,medium,clean_peak_percentile,272,0.001,non_overlap_only,0.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,medium,clean_peak_percentile,0,0.001,non_overlap_only,0.0,clean_validation_background
pedestrian_like,138,interfered,narrow,0.45695364238410596,A_clean_threshold,medium,clean_peak_percentile,302,0.001,non_overlap_only,0.0,clean_validation_background
vehicle_like,155,interfered,narrow,0.5098684210526315,A_clean_threshold,medium,clean_peak_percentile,304,0.001,non_overlap_only,0.0,clean_validation_background
cyclist_like,294,interfered,narrow,0.4843492586490939,A_clean_threshold,severe,clean_peak_percentile,607,0.001,all,-10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,severe,clean_peak_percentile,0,0.001,all,-10.0,clean_validation_background
pedestrian_like,219,interfered,narrow,0.4101123595505618,A_clean_threshold,severe,clean_peak_percentile,534,0.001,all,-10.0,clean_validation_background
vehicle_like,582,interfered,narrow,0.46337579617834396,A_clean_threshold,severe,clean_peak_percentile,1256,0.001,all,-10.0,clean_validation_background
cyclist_like,61,interfered,narrow,0.22426470588235295,A_clean_threshold,severe,clean_peak_percentile,272,0.001,non_overlap_only,-10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,severe,clean_peak_percentile,0,0.001,non_overlap_only,-10.0,clean_validation_background
pedestrian_like,120,interfered,narrow,0.3973509933774834,A_clean_threshold,severe,clean_peak_percentile,302,0.001,non_overlap_only,-10.0,clean_validation_background
vehicle_like,112,interfered,narrow,0.3684210526315789,A_clean_threshold,severe,clean_peak_percentile,304,0.001,non_overlap_only,-10.0,clean_validation_background
cyclist_like,344,clean,narrow,0.5667215815485996,B_fixed_pfa_recalibrated,,clean_peak_percentile,607,0.001,all,,input_specific_validation_background
motorbike_like,0,clean,narrow,,B_fixed_pfa_recalibrated,,clean_peak_percentile,0,0.001,all,,input_specific_validation_background
pedestrian_like,260,clean,narrow,0.4868913857677903,B_fixed_pfa_recalibrated,,clean_peak_percentile,534,0.001,all,,input_specific_validation_background
vehicle_like,670,clean,narrow,0.5334394904458599,B_fixed_pfa_recalibrated,,clean_peak_percentile,1256,0.001,all,,input_specific_validation_background
cyclist_like,103,clean,narrow,0.3786764705882353,B_fixed_pfa_recalibrated,,clean_peak_percentile,272,0.001,non_overlap_only,,input_specific_validation_background
motorbike_like,0,clean,narrow,,B_fixed_pfa_recalibrated,,clean_peak_percentile,0,0.001,non_overlap_only,,input_specific_validation_background
pedestrian_like,145,clean,narrow,0.48013245033112584,B_fixed_pfa_recalibrated,,clean_peak_percentile,302,0.001,non_overlap_only,,input_specific_validation_background
vehicle_like,156,clean,narrow,0.5131578947368421,B_fixed_pfa_recalibrated,,clean_peak_percentile,304,0.001,non_overlap_only,,input_specific_validation_background
cyclist_like,314,interfered,narrow,0.5172981878088962,B_fixed_pfa_recalibrated,light,clean_peak_percentile,607,0.001,all,10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,light,clean_peak_percentile,0,0.001,all,10.0,input_specific_validation_background
pedestrian_like,209,interfered,narrow,0.3913857677902622,B_fixed_pfa_recalibrated,light,clean_peak_percentile,534,0.001,all,10.0,input_specific_validation_background
vehicle_like,586,interfered,narrow,0.46656050955414013,B_fixed_pfa_recalibrated,light,clean_peak_percentile,1256,0.001,all,10.0,input_specific_validation_background
cyclist_like,89,interfered,narrow,0.3272058823529412,B_fixed_pfa_recalibrated,light,clean_peak_percentile,272,0.001,non_overlap_only,10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,light,clean_peak_percentile,0,0.001,non_overlap_only,10.0,input_specific_validation_background
pedestrian_like,108,interfered,narrow,0.3576158940397351,B_fixed_pfa_recalibrated,light,clean_peak_percentile,302,0.001,non_overlap_only,10.0,input_specific_validation_background
vehicle_like,123,interfered,narrow,0.40460526315789475,B_fixed_pfa_recalibrated,light,clean_peak_percentile,304,0.001,non_overlap_only,10.0,input_specific_validation_background
cyclist_like,140,interfered,narrow,0.23064250411861614,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,607,0.001,all,0.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,0,0.001,all,0.0,input_specific_validation_background
pedestrian_like,30,interfered,narrow,0.056179775280898875,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,534,0.001,all,0.0,input_specific_validation_background
vehicle_like,262,interfered,narrow,0.2085987261146497,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,1256,0.001,all,0.0,input_specific_validation_background
cyclist_like,24,interfered,narrow,0.08823529411764706,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,272,0.001,non_overlap_only,0.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,0,0.001,non_overlap_only,0.0,input_specific_validation_background
pedestrian_like,8,interfered,narrow,0.026490066225165563,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,302,0.001,non_overlap_only,0.0,input_specific_validation_background
vehicle_like,4,interfered,narrow,0.013157894736842105,B_fixed_pfa_recalibrated,medium,clean_peak_percentile,304,0.001,non_overlap_only,0.0,input_specific_validation_background
cyclist_like,1,interfered,narrow,0.0016474464579901153,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,607,0.001,all,-10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,0,0.001,all,-10.0,input_specific_validation_background
pedestrian_like,0,interfered,narrow,0.0,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,534,0.001,all,-10.0,input_specific_validation_background
vehicle_like,1,interfered,narrow,0.0007961783439490446,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,1256,0.001,all,-10.0,input_specific_validation_background
cyclist_like,0,interfered,narrow,0.0,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,272,0.001,non_overlap_only,-10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,0,0.001,non_overlap_only,-10.0,input_specific_validation_background
pedestrian_like,0,interfered,narrow,0.0,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,302,0.001,non_overlap_only,-10.0,input_specific_validation_background
vehicle_like,0,interfered,narrow,0.0,B_fixed_pfa_recalibrated,severe,clean_peak_percentile,304,0.001,non_overlap_only,-10.0,input_specific_validation_background
cyclist_like,394,clean,narrow,0.6490939044481054,A_clean_threshold,,cfar_margin,607,0.01,all,,clean_validation_background
motorbike_like,0,clean,narrow,,A_clean_threshold,,cfar_margin,0,0.01,all,,clean_validation_background
pedestrian_like,340,clean,narrow,0.6367041198501873,A_clean_threshold,,cfar_margin,534,0.01,all,,clean_validation_background
vehicle_like,866,clean,narrow,0.6894904458598726,A_clean_threshold,,cfar_margin,1256,0.01,all,,clean_validation_background
cyclist_like,134,clean,narrow,0.49264705882352944,A_clean_threshold,,cfar_margin,272,0.01,non_overlap_only,,clean_validation_background
motorbike_like,0,clean,narrow,,A_clean_threshold,,cfar_margin,0,0.01,non_overlap_only,,clean_validation_background
pedestrian_like,192,clean,narrow,0.6357615894039735,A_clean_threshold,,cfar_margin,302,0.01,non_overlap_only,,clean_validation_background
vehicle_like,182,clean,narrow,0.5986842105263158,A_clean_threshold,,cfar_margin,304,0.01,non_overlap_only,,clean_validation_background
cyclist_like,394,interfered,narrow,0.6490939044481054,A_clean_threshold,light,cfar_margin,607,0.01,all,10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,light,cfar_margin,0,0.01,all,10.0,clean_validation_background
pedestrian_like,339,interfered,narrow,0.6348314606741573,A_clean_threshold,light,cfar_margin,534,0.01,all,10.0,clean_validation_background
vehicle_like,865,interfered,narrow,0.6886942675159236,A_clean_threshold,light,cfar_margin,1256,0.01,all,10.0,clean_validation_background
cyclist_like,134,interfered,narrow,0.49264705882352944,A_clean_threshold,light,cfar_margin,272,0.01,non_overlap_only,10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,light,cfar_margin,0,0.01,non_overlap_only,10.0,clean_validation_background
pedestrian_like,191,interfered,narrow,0.6324503311258278,A_clean_threshold,light,cfar_margin,302,0.01,non_overlap_only,10.0,clean_validation_background
vehicle_like,181,interfered,narrow,0.5953947368421053,A_clean_threshold,light,cfar_margin,304,0.01,non_overlap_only,10.0,clean_validation_background
cyclist_like,386,interfered,narrow,0.6359143327841845,A_clean_threshold,medium,cfar_margin,607,0.01,all,0.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,medium,cfar_margin,0,0.01,all,0.0,clean_validation_background
pedestrian_like,320,interfered,narrow,0.599250936329588,A_clean_threshold,medium,cfar_margin,534,0.01,all,0.0,clean_validation_background
vehicle_like,864,interfered,narrow,0.6878980891719745,A_clean_threshold,medium,cfar_margin,1256,0.01,all,0.0,clean_validation_background
cyclist_like,126,interfered,narrow,0.4632352941176471,A_clean_threshold,medium,cfar_margin,272,0.01,non_overlap_only,0.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,medium,cfar_margin,0,0.01,non_overlap_only,0.0,clean_validation_background
pedestrian_like,181,interfered,narrow,0.5993377483443708,A_clean_threshold,medium,cfar_margin,302,0.01,non_overlap_only,0.0,clean_validation_background
vehicle_like,182,interfered,narrow,0.5986842105263158,A_clean_threshold,medium,cfar_margin,304,0.01,non_overlap_only,0.0,clean_validation_background
cyclist_like,350,interfered,narrow,0.5766062602965404,A_clean_threshold,severe,cfar_margin,607,0.01,all,-10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,severe,cfar_margin,0,0.01,all,-10.0,clean_validation_background
pedestrian_like,292,interfered,narrow,0.5468164794007491,A_clean_threshold,severe,cfar_margin,534,0.01,all,-10.0,clean_validation_background
vehicle_like,826,interfered,narrow,0.6576433121019108,A_clean_threshold,severe,cfar_margin,1256,0.01,all,-10.0,clean_validation_background
cyclist_like,93,interfered,narrow,0.34191176470588236,A_clean_threshold,severe,cfar_margin,272,0.01,non_overlap_only,-10.0,clean_validation_background
motorbike_like,0,interfered,narrow,,A_clean_threshold,severe,cfar_margin,0,0.01,non_overlap_only,-10.0,clean_validation_background
pedestrian_like,167,interfered,narrow,0.5529801324503312,A_clean_threshold,severe,cfar_margin,302,0.01,non_overlap_only,-10.0,clean_validation_background
vehicle_like,170,interfered,narrow,0.5592105263157895,A_clean_threshold,severe,cfar_margin,304,0.01,non_overlap_only,-10.0,clean_validation_background
cyclist_like,394,clean,narrow,0.6490939044481054,B_fixed_pfa_recalibrated,,cfar_margin,607,0.01,all,,input_specific_validation_background
motorbike_like,0,clean,narrow,,B_fixed_pfa_recalibrated,,cfar_margin,0,0.01,all,,input_specific_validation_background
pedestrian_like,340,clean,narrow,0.6367041198501873,B_fixed_pfa_recalibrated,,cfar_margin,534,0.01,all,,input_specific_validation_background
vehicle_like,866,clean,narrow,0.6894904458598726,B_fixed_pfa_recalibrated,,cfar_margin,1256,0.01,all,,input_specific_validation_background
cyclist_like,134,clean,narrow,0.49264705882352944,B_fixed_pfa_recalibrated,,cfar_margin,272,0.01,non_overlap_only,,input_specific_validation_background
motorbike_like,0,clean,narrow,,B_fixed_pfa_recalibrated,,cfar_margin,0,0.01,non_overlap_only,,input_specific_validation_background
pedestrian_like,192,clean,narrow,0.6357615894039735,B_fixed_pfa_recalibrated,,cfar_margin,302,0.01,non_overlap_only,,input_specific_validation_background
vehicle_like,182,clean,narrow,0.5986842105263158,B_fixed_pfa_recalibrated,,cfar_margin,304,0.01,non_overlap_only,,input_specific_validation_background
cyclist_like,382,interfered,narrow,0.6293245469522241,B_fixed_pfa_recalibrated,light,cfar_margin,607,0.01,all,10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,light,cfar_margin,0,0.01,all,10.0,input_specific_validation_background
pedestrian_like,313,interfered,narrow,0.5861423220973783,B_fixed_pfa_recalibrated,light,cfar_margin,534,0.01,all,10.0,input_specific_validation_background
vehicle_like,829,interfered,narrow,0.660031847133758,B_fixed_pfa_recalibrated,light,cfar_margin,1256,0.01,all,10.0,input_specific_validation_background
cyclist_like,125,interfered,narrow,0.45955882352941174,B_fixed_pfa_recalibrated,light,cfar_margin,272,0.01,non_overlap_only,10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,light,cfar_margin,0,0.01,non_overlap_only,10.0,input_specific_validation_background
pedestrian_like,174,interfered,narrow,0.5761589403973509,B_fixed_pfa_recalibrated,light,cfar_margin,302,0.01,non_overlap_only,10.0,input_specific_validation_background
vehicle_like,175,interfered,narrow,0.5756578947368421,B_fixed_pfa_recalibrated,light,cfar_margin,304,0.01,non_overlap_only,10.0,input_specific_validation_background
cyclist_like,325,interfered,narrow,0.5354200988467874,B_fixed_pfa_recalibrated,medium,cfar_margin,607,0.01,all,0.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,medium,cfar_margin,0,0.01,all,0.0,input_specific_validation_background
pedestrian_like,239,interfered,narrow,0.44756554307116103,B_fixed_pfa_recalibrated,medium,cfar_margin,534,0.01,all,0.0,input_specific_validation_background
vehicle_like,654,interfered,narrow,0.5207006369426752,B_fixed_pfa_recalibrated,medium,cfar_margin,1256,0.01,all,0.0,input_specific_validation_background
cyclist_like,87,interfered,narrow,0.31985294117647056,B_fixed_pfa_recalibrated,medium,cfar_margin,272,0.01,non_overlap_only,0.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,medium,cfar_margin,0,0.01,non_overlap_only,0.0,input_specific_validation_background
pedestrian_like,133,interfered,narrow,0.44039735099337746,B_fixed_pfa_recalibrated,medium,cfar_margin,302,0.01,non_overlap_only,0.0,input_specific_validation_background
vehicle_like,149,interfered,narrow,0.4901315789473684,B_fixed_pfa_recalibrated,medium,cfar_margin,304,0.01,non_overlap_only,0.0,input_specific_validation_background
cyclist_like,170,interfered,narrow,0.2800658978583196,B_fixed_pfa_recalibrated,severe,cfar_margin,607,0.01,all,-10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,severe,cfar_margin,0,0.01,all,-10.0,input_specific_validation_background
pedestrian_like,41,interfered,narrow,0.07677902621722846,B_fixed_pfa_recalibrated,severe,cfar_margin,534,0.01,all,-10.0,input_specific_validation_background
vehicle_like,346,interfered,narrow,0.2754777070063694,B_fixed_pfa_recalibrated,severe,cfar_margin,1256,0.01,all,-10.0,input_specific_validation_background
cyclist_like,25,interfered,narrow,0.09191176470588236,B_fixed_pfa_recalibrated,severe,cfar_margin,272,0.01,non_overlap_only,-10.0,input_specific_validation_background
motorbike_like,0,interfered,narrow,,B_fixed_pfa_recalibrated,severe,cfar_margin,0,0.01,non_overlap_only,-10.0,input_specific_validation_background
pedestrian_like,14,interfered,narrow,0.046357615894039736,B_fixed_pfa_recalibrated,severe,cfar_margin,302,0.01,non_overlap_only,-10.0,input_specific_validation_background
vehicle_like,7,interfered,narrow,0.023026315789473683,B_fixed_pfa_recalibrated,severe,cfar_margin,304,0.01,non_overlap_only,-10.0,input_specific_validation_background
cyclist_like,344,clean,narrow,0.5667215815485996,A_clean_threshold,,cfar_margin,607,0.001,all,,clean_validation_background
motorbike_like,0,clean,narrow,,A_clean_threshold,,cfar_margin,0,0.001,all,,clean_validation_background
pedestrian_like,260,clean,narrow,0.4868913857677903,A_clean_threshold,,cfar_margin,534,0.001,all,,clean_validation_background
