new_frame_id,source_sequence,source_radar_file,source_label_file,new_radar_file,new_label_file,target_count,class_ids,class_counts,px_min,px_max,py_min,py_max,range_min,range_max,azimuth_min,azimuth_max,selection_reason
d1a_000017,2019_04_30_mlms000,000060.mat,0000000060.csv,2019_04_30_mlms000__000060.mat,2019_04_30_mlms000__0000000060.csv,3,0;2;80,0:1;2:1;80:1,-1.97,1.49,3.04,4.89,3.6224991373359914,5.111966353566893,-32.94429934469113,16.94616099823654,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000018,2019_04_30_mlms000,000061.mat,0000000061.csv,2019_04_30_mlms000__000061.mat,2019_04_30_mlms000__0000000061.csv,3,0;2;80,0:1;2:1;80:1,-1.97,1.49,3.04,4.89,3.6224991373359914,5.111966353566893,-32.94429934469113,16.94616099823654,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000019,2019_04_30_mlms000,000063.mat,0000000063.csv,2019_04_30_mlms000__000063.mat,2019_04_30_mlms000__0000000063.csv,3,0;2;80,0:1;2:1;80:1,-1.96,1.41,3.29,4.92,3.8295822226451803,5.118056271671893,-30.784146526326445,15.991527758517073,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000020,2019_04_30_mlms000,000064.mat,0000000064.csv,2019_04_30_mlms000__000064.mat,2019_04_30_mlms000__0000000064.csv,3,0;2;80,0:1;2:1;80:1,-1.96,1.41,3.29,4.92,3.8295822226451803,5.118056271671893,-30.784146526326445,15.991527758517073,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000021,2019_04_30_mlms000,000065.mat,0000000065.csv,2019_04_30_mlms000__000065.mat,2019_04_30_mlms000__0000000065.csv,3,0;2;80,0:1;2:1;80:1,-1.94,1.38,3.55,5.14,4.045503676923308,5.322029688004379,-28.65567234508969,15.028505067927293,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000022,2019_04_30_mlms000,000067.mat,0000000067.csv,2019_04_30_mlms000__000067.mat,2019_04_30_mlms000__0000000067.csv,3,0;2;80,0:1;2:1;80:1,-1.78,1.38,3.87,5.14,4.046393455906136,5.322029688004379,-24.69998628563352,15.028505067927293,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=1
d1a_000023,2019_04_30_mlms000,000069.mat,0000000069.csv,2019_04_30_mlms000__000069.mat,2019_04_30_mlms000__0000000069.csv,3,0;2;80,0:1;2:1;80:1,-1.66,1.38,3.98,5.14,4.046393455906136,5.322029688004379,-20.756479412754732,15.028505067927293,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000024,2019_04_30_mlms000,000070.mat,0000000070.csv,2019_04_30_mlms000__000070.mat,2019_04_30_mlms000__0000000070.csv,3,0;2;80,0:1;2:1;80:1,-1.65,1.38,3.97,5.14,4.049802464318476,5.322029688004379,-18.82471001824007,15.028505067927293,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000025,2019_04_30_mlms000,000071.mat,0000000071.csv,2019_04_30_mlms000__000071.mat,2019_04_30_mlms000__0000000071.csv,3,0;2;80,0:1;2:1;80:1,-1.64,1.47,3.97,5.12,4.049802464318476,5.328648984498791,-17.924910845955328,16.019268706189006,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000026,2019_04_30_mlms000,000072.mat,0000000072.csv,2019_04_30_mlms000__000072.mat,2019_04_30_mlms000__0000000072.csv,3,0;2;80,0:1;2:1;80:1,-1.64,1.47,3.97,5.12,4.049802464318476,5.328648984498791,-17.924910845955328,16.019268706189006,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000027,2019_04_30_mlms000,000073.mat,0000000073.csv,2019_04_30_mlms000__000073.mat,2019_04_30_mlms000__0000000073.csv,3,0;2;80,0:1;2:1;80:1,-1.64,1.47,3.97,5.12,4.049802464318476,5.328648984498791,-17.924910845955328,16.019268706189006,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000028,2019_04_30_mlms000,000074.mat,0000000074.csv,2019_04_30_mlms000__000074.mat,2019_04_30_mlms000__0000000074.csv,3,0;2;80,0:1;2:1;80:1,-1.59,1.47,3.97,5.53,4.049802464318476,5.754042057545287,-16.041139535030702,16.019268706189006,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000029,2019_04_30_mlms000,000076.mat,0000000076.csv,2019_04_30_mlms000__000076.mat,2019_04_30_mlms000__0000000076.csv,3,0;2;80,0:1;2:1;80:1,-1.59,1.47,3.96,5.53,4.052307984346698,5.754042057545287,-16.041139535030702,16.019268706189006,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000030,2019_04_30_mlms000,000077.mat,0000000077.csv,2019_04_30_mlms000__000077.mat,2019_04_30_mlms000__0000000077.csv,3,0;2;80,0:1;2:1;80:1,-1.31,1.61,3.96,6.04,4.052307984346698,6.180428787713681,-12.237203065512851,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000031,2019_04_30_mlms000,000082.mat,0000000082.csv,2019_04_30_mlms000__000082.mat,2019_04_30_mlms000__0000000082.csv,3,0;2;80,0:1;2:1;80:1,-1.0,1.7,4.15,7.39,4.261854056628406,7.4573520769774575,-7.706340803454845,17.87869659584134,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000032,2019_04_30_mlms000,000083.mat,0000000083.csv,2019_04_30_mlms000__000083.mat,2019_04_30_mlms000__0000000083.csv,3,0;2;80,0:1;2:1;80:1,-1.0,1.7,4.15,7.39,4.261854056628406,7.4573520769774575,-7.706340803454845,17.87869659584134,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000033,2019_04_30_mlms000,000086.mat,0000000086.csv,2019_04_30_mlms000__000086.mat,2019_04_30_mlms000__0000000086.csv,3,0;2;80,0:1;2:1;80:1,-0.68,1.7,4.15,7.85,4.261854056628406,7.87939718506435,-4.950842665078472,17.87869659584134,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=2
d1a_000034,2019_04_30_mlms000,000087.mat,0000000087.csv,2019_04_30_mlms000__000087.mat,2019_04_30_mlms000__0000000087.csv,3,0;2;80,0:1;2:1;80:1,-0.34,1.7,4.15,8.52,4.261854056628406,8.526781338817127,-2.2852387311783975,17.87869659584134,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000035,2019_04_30_mlms000,000088.mat,0000000088.csv,2019_04_30_mlms000__000088.mat,2019_04_30_mlms000__0000000088.csv,3,0;2;80,0:1;2:1;80:1,-0.34,1.7,4.15,8.52,4.261854056628406,8.526781338817127,-2.2852387311783975,17.87869659584134,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000036,2019_04_30_mlms000,000089.mat,0000000089.csv,2019_04_30_mlms000__000089.mat,2019_04_30_mlms000__0000000089.csv,3,0;2;80,0:1;2:1;80:1,-0.34,1.61,4.15,8.52,4.261854056628406,8.526781338817127,-2.2852387311783975,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000037,2019_04_30_mlms000,000090.mat,0000000090.csv,2019_04_30_mlms000__000090.mat,2019_04_30_mlms000__0000000090.csv,3,0;2;80,0:1;2:1;80:1,-0.36,1.61,4.15,9.15,4.261854056628406,9.15707922866238,-2.253098080266766,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000038,2019_04_30_mlms000,000091.mat,0000000091.csv,2019_04_30_mlms000__000091.mat,2019_04_30_mlms000__0000000091.csv,3,0;2;80,0:1;2:1;80:1,-0.36,1.61,4.15,9.15,4.261854056628406,9.15707922866238,-2.253098080266766,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000039,2019_04_30_mlms000,000092.mat,0000000092.csv,2019_04_30_mlms000__000092.mat,2019_04_30_mlms000__0000000092.csv,3,0;2;80,0:1;2:1;80:1,-0.36,1.61,4.15,9.15,4.261854056628406,9.15707922866238,-2.253098080266766,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000040,2019_04_30_mlms000,000094.mat,0000000094.csv,2019_04_30_mlms000__000094.mat,2019_04_30_mlms000__0000000094.csv,3,0;2;80,0:1;2:1;80:1,-0.24,1.61,4.15,10.22,4.261854056628406,10.222817615510902,-1.3452505062519988,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000041,2019_04_30_mlms000,000097.mat,0000000097.csv,2019_04_30_mlms000__000097.mat,2019_04_30_mlms000__0000000097.csv,3,0;2;80,0:1;2:1;80:1,-0.08,1.61,4.15,10.65,4.261854056628406,10.6503004652451,-0.43038273719166636,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000042,2019_04_30_mlms000,000098.mat,0000000098.csv,2019_04_30_mlms000__000098.mat,2019_04_30_mlms000__0000000098.csv,3,0;2;80,0:1;2:1;80:1,0.26,1.61,4.15,11.08,4.261854056628406,11.08305012169484,1.3442391067902668,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000043,2019_04_30_mlms000,000100.mat,0000000100.csv,2019_04_30_mlms000__000100.mat,2019_04_30_mlms000__0000000100.csv,3,0;2;80,0:1;2:1;80:1,0.26,1.61,4.15,11.08,4.261854056628406,11.08305012169484,1.3442391067902668,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000044,2019_04_30_mlms000,000101.mat,0000000101.csv,2019_04_30_mlms000__000101.mat,2019_04_30_mlms000__0000000101.csv,3,0;2;80,0:1;2:1;80:1,0.27,1.61,4.15,11.5,4.261854056628406,11.50316912854888,1.3449581679197977,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000045,2019_04_30_mlms000,000105.mat,0000000105.csv,2019_04_30_mlms000__000105.mat,2019_04_30_mlms000__0000000105.csv,3,0;2;80,0:1;2:1;80:1,0.5,1.61,4.36,12.77,4.4777226354476225,12.779784818219749,2.2422289424298647,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000046,2019_04_30_mlms000,000106.mat,0000000106.csv,2019_04_30_mlms000__000106.mat,2019_04_30_mlms000__0000000106.csv,3,0;2;80,0:1;2:1;80:1,0.73,1.61,4.36,13.19,4.4777226354476225,13.210185464254467,3.167800773093035,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000047,2019_04_30_mlms000,000107.mat,0000000107.csv,2019_04_30_mlms000__000107.mat,2019_04_30_mlms000__0000000107.csv,3,0;2;80,0:1;2:1;80:1,0.73,1.61,4.36,13.19,4.4777226354476225,13.210185464254467,3.167800773093035,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000048,2019_04_30_mlms000,000110.mat,0000000110.csv,2019_04_30_mlms000__000110.mat,2019_04_30_mlms000__0000000110.csv,3,0;2;80,0:1;2:1;80:1,0.79,1.61,4.36,14.25,4.4777226354476225,14.27188144569594,3.1731494351209384,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000049,2019_04_30_mlms000,000111.mat,0000000111.csv,2019_04_30_mlms000__000111.mat,2019_04_30_mlms000__0000000111.csv,3,0;2;80,0:1;2:1;80:1,0.79,1.61,4.36,14.25,4.4777226354476225,14.27188144569594,3.1731494351209384,16.897395889133694,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000050,2019_04_30_mlms000,000112.mat,0000000112.csv,2019_04_30_mlms000__000112.mat,2019_04_30_mlms000__0000000112.csv,3,0;2;80,0:1;2:1;80:1,1.02,1.77,4.36,14.65,4.4777226354476225,14.704944746580995,4.954551414624265,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=4
d1a_000051,2019_04_30_mlms000,000117.mat,0000000117.csv,2019_04_30_mlms000__000117.mat,2019_04_30_mlms000__0000000117.csv,3,0;2;80,0:1;2:1;80:1,1.02,1.77,4.36,15.73,4.4777226354476225,15.76982244668595,4.0726738463572545,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000052,2019_04_30_mlms000,000122.mat,0000000122.csv,2019_04_30_mlms000__000122.mat,2019_04_30_mlms000__0000000122.csv,3,0;2;80,0:1;2:1;80:1,0.88,1.83,4.39,17.8,4.477331794718814,17.89382295654006,5.869898125180582,16.04491700594499,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000053,2019_04_30_mlms000,000123.mat,0000000123.csv,2019_04_30_mlms000__000123.mat,2019_04_30_mlms000__0000000123.csv,3,0;2;80,0:1;2:1;80:1,0.88,1.83,4.39,17.8,4.477331794718814,17.89382295654006,5.869898125180582,16.04491700594499,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000054,2019_04_30_mlms000,000124.mat,0000000124.csv,2019_04_30_mlms000__000124.mat,2019_04_30_mlms000__0000000124.csv,3,0;2;80,0:1;2:1;80:1,0.88,1.9,4.39,18.44,4.477331794718814,18.537626601051173,5.882818257691113,16.04491700594499,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000055,2019_04_30_mlms000,000125.mat,0000000125.csv,2019_04_30_mlms000__000125.mat,2019_04_30_mlms000__0000000125.csv,3,0;2;80,0:1;2:1;80:1,0.88,1.9,4.39,18.44,4.477331794718814,18.537626601051173,5.882818257691113,16.04491700594499,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000056,2019_04_30_mlms000,000129.mat,0000000129.csv,2019_04_30_mlms000__000129.mat,2019_04_30_mlms000__0000000129.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.03,4.36,19.71,4.4777226354476225,19.81426253989787,5.880353650698349,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=3
d1a_000057,2019_04_30_mlms000,000130.mat,0000000130.csv,2019_04_30_mlms000__000130.mat,2019_04_30_mlms000__0000000130.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.03,4.36,19.71,4.4777226354476225,19.81426253989787,5.880353650698349,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=3
d1a_000058,2019_04_30_mlms000,000131.mat,0000000131.csv,2019_04_30_mlms000__000131.mat,2019_04_30_mlms000__0000000131.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.39,4.36,20.1,4.4777226354476225,20.241593316732754,6.780943863118875,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000059,2019_04_30_mlms000,000132.mat,0000000132.csv,2019_04_30_mlms000__000132.mat,2019_04_30_mlms000__0000000132.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.47,4.36,20.73,4.4777226354476225,20.876632870269095,6.794814395209022,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000060,2019_04_30_mlms000,000133.mat,0000000133.csv,2019_04_30_mlms000__000133.mat,2019_04_30_mlms000__0000000133.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.47,4.36,20.73,4.4777226354476225,20.876632870269095,6.794814395209022,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000061,2019_04_30_mlms000,000134.mat,0000000134.csv,2019_04_30_mlms000__000134.mat,2019_04_30_mlms000__0000000134.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.85,4.36,21.11,4.4777226354476225,21.301516377948307,7.688847605533752,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000062,2019_04_30_mlms000,000135.mat,0000000135.csv,2019_04_30_mlms000__000135.mat,2019_04_30_mlms000__0000000135.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.94,4.36,21.75,4.4777226354476225,21.947803990376805,7.6981493159937795,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000063,2019_04_30_mlms000,000136.mat,0000000136.csv,2019_04_30_mlms000__000136.mat,2019_04_30_mlms000__0000000136.csv,3,0;2;80,0:1;2:1;80:1,1.02,2.94,4.36,21.75,4.4777226354476225,21.947803990376805,7.6981493159937795,16.041139535030702,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000064,2019_04_30_mlms000,000138.mat,0000000138.csv,2019_04_30_mlms000__000138.mat,2019_04_30_mlms000__0000000138.csv,3,0;2;80,0:1;2:1;80:1,1.02,3.05,4.36,22.59,4.4777226354476225,22.794968743123995,7.689319595865159,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000065,2019_04_30_mlms000,000140.mat,0000000140.csv,2019_04_30_mlms000__000140.mat,2019_04_30_mlms000__0000000140.csv,3,0;2;80,0:1;2:1;80:1,1.02,3.11,4.36,23.01,4.4777226354476225,23.2192204864849,7.69737354593349,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000066,2019_04_30_mlms000,000141.mat,0000000141.csv,2019_04_30_mlms000__000141.mat,2019_04_30_mlms000__0000000141.csv,3,0;2;80,0:1;2:1;80:1,1.02,3.54,4.36,23.38,4.4777226354476225,23.64647965342833,8.609840492783356,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000067,2019_04_30_mlms000,000142.mat,0000000142.csv,2019_04_30_mlms000__000142.mat,2019_04_30_mlms000__0000000142.csv,3,0;2;80,0:1;2:1;80:1,1.02,3.54,4.36,23.38,4.4777226354476225,23.64647965342833,8.609840492783356,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=2;azimuth_bin=4
d1a_000068,2019_04_30_mlms000,000151.mat,0000000151.csv,2019_04_30_mlms000__000151.mat,2019_04_30_mlms000__0000000151.csv,2,0;80,0:1;80:1,1.07,1.77,4.56,5.47,4.6838552496848145,5.749243428486917,13.205498049430842,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000069,2019_04_30_mlms000,000154.mat,0000000154.csv,2019_04_30_mlms000__000154.mat,2019_04_30_mlms000__0000000154.csv,2,0;80,0:1;80:1,1.07,1.77,4.56,5.47,4.6838552496848145,5.749243428486917,13.205498049430842,17.93070855633519,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000070,2019_04_30_mlms000,000165.mat,0000000165.csv,2019_04_30_mlms000__000165.mat,2019_04_30_mlms000__0000000165.csv,2,0;80,0:1;80:1,1.12,1.68,4.77,5.5,4.899724482049986,5.750860805131698,13.213736801787748,16.98552989034628,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000071,2019_04_30_mlms000,000174.mat,0000000174.csv,2019_04_30_mlms000__000174.mat,2019_04_30_mlms000__0000000174.csv,2,0;80,0:1;80:1,1.09,1.74,5.0,5.71,5.11743099611514,5.969229431006988,12.298071395923875,16.9474753584801,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000072,2019_04_30_mlms000,000178.mat,0000000178.csv,2019_04_30_mlms000__000178.mat,2019_04_30_mlms000__0000000178.csv,2,0;80,0:1;80:1,1.09,1.8,5.0,5.91,5.11743099611514,6.1780336677619365,12.298071395923875,16.939085631049476,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000073,2019_04_30_mlms000,000199.mat,0000000199.csv,2019_04_30_mlms000__000199.mat,2019_04_30_mlms000__0000000199.csv,2,0;80,0:1;80:1,1.09,1.66,5.43,6.61,5.5383210452266125,6.815254947542315,11.35051021476655,14.097413316052236,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000074,2019_04_30_mlms000,000204.mat,0000000204.csv,2019_04_30_mlms000__000204.mat,2019_04_30_mlms000__0000000204.csv,2,0;80,0:1;80:1,1.04,1.66,5.66,6.61,5.754754556017137,6.815254947542315,10.41170822769202,14.097413316052236,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000075,2019_04_30_mlms000,000210.mat,0000000210.csv,2019_04_30_mlms000__000210.mat,2019_04_30_mlms000__0000000210.csv,2,0;80,0:1;80:1,1.04,1.66,5.66,6.61,5.754754556017137,6.815254947542315,10.41170822769202,14.097413316052236,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=4
d1a_000076,2019_04_30_mlms000,000211.mat,0000000211.csv,2019_04_30_mlms000__000211.mat,2019_04_30_mlms000__0000000211.csv,2,0;80,0:1;80:1,1.04,1.59,5.66,7.29,5.754754556017137,7.461380569304852,10.41170822769202,12.303923554059907,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000077,2019_04_30_mlms000,000219.mat,0000000219.csv,2019_04_30_mlms000__000219.mat,2019_04_30_mlms000__0000000219.csv,2,0;80,0:1;80:1,0.89,1.63,5.9,7.49,5.966749533875207,7.66531147442816,8.57824697764271,12.277476483368364,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000078,2019_04_30_mlms000,000220.mat,0000000220.csv,2019_04_30_mlms000__000220.mat,2019_04_30_mlms000__0000000220.csv,2,0;80,0:1;80:1,0.89,1.63,5.9,7.49,5.966749533875207,7.66531147442816,8.57824697764271,12.277476483368364,top_sequence_stratified;tc=multi;range_bin=0;azimuth_bin=3
d1a_000079,2019_04_30_mlms000,000224.mat,0000000224.csv,2019_04_30_mlms000__000224.mat,2019_04_30_mlms000__0000000224.csv,2,0;80,0:1;80:1,0.86,1.68,6.33,7.7,6.3881530977270735,7.881142049221039,7.736889761795994,12.308015817427925,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
d1a_000080,2019_04_30_mlms000,000225.mat,0000000225.csv,2019_04_30_mlms000__000225.mat,2019_04_30_mlms000__0000000225.csv,2,0;80,0:1;80:1,0.86,1.68,6.33,7.7,6.3881530977270735,7.881142049221039,7.736889761795994,12.308015817427925,top_sequence_stratified;tc=multi;range_bin=1;azimuth_bin=3
