sequence,radar_count,label_count,image_count,aligned_count,radar_only_count,label_only_count,empty_label_frames,nonempty_label_frames,total_targets,target_count_min,target_count_mean,target_count_median,target_count_max,target_count_zero_frames,target_count_one_frames,target_count_two_plus_frames,multi_target_frame_prop,class_distribution,class_count,px_min,px_max,px_mean,px_std,py_min,py_max,py_mean,py_std,range_min,range_max,range_mean,range_std,range_span,azimuth_min,azimuth_max,azimuth_mean,azimuth_std,azimuth_span,wid_min,wid_max,len_min,len_max,label_anomaly_count
2019_04_30_pbss000,898,897,900,897,1,0,0,897,1794,2.0,2.0,2.0,2.0,0,0,897,1.0,0:897;80:897,2,-1.60791503,1.575,-0.0032413848383500764,1.5782754001416452,9.20186078,9.5836,9.49942555955407,0.08968505736785937,9.330149246714468,9.712158048549252,9.629656867841744,0.08832736790198897,0.38200880183478425,-9.664792453537292,9.332749702268496,-0.10109324029198054,9.433976886601066,18.99754215580579,0.6,0.7,0.7,1.7,0
2019_04_30_pcms001,898,897,900,897,1,0,0,897,1525,1.0,1.7001114827201784,2.0,3.0,0,330,567,0.6321070234113713,0:897;2:628,2,-5.86,3.35,-0.27705573770491804,2.936633209988619,1.72,23.52,10.389777049180328,4.603180862040246,3.192882710028666,23.86426826868991,10.856478583265542,4.469249203527115,20.671385558661242,-57.45516278889445,17.919994760569057,-2.048123311042367,19.2510899119277,75.37515754946351,0.7,4.5,0.7,4.5,0
2019_05_09_bm1s007,898,897,900,897,1,0,0,897,4379,4.0,4.8818283166109255,5.0,5.0,0,0,897,1.0,1:6;2:3588;80:785,3,-6.52,5.41,2.793594427951587,2.9573544873348836,1.46,16.83,8.790783283854761,4.627499234956381,1.488522757635905,16.83475274543704,9.913697330887752,4.118293400962731,15.346229987801134,-57.40937381455532,45.78176523843302,19.089483459827974,25.44527014398835,103.19113905298835,0.6,4.5,0.6,4.5,0
2019_05_09_cm1s003,898,897,900,897,1,0,0,897,3766,4.0,4.1984392419175025,4.0,5.0,0,0,897,1.0,2:3766,1,-12.11,6.93,-4.813980350504513,7.36475297710972,8.91,23.47,14.652692511949018,5.105151925366679,13.42347570489849,23.86426826868991,17.42998661800761,3.791244354531586,10.440792563791419,-48.41254114926712,27.681619153657184,-18.134896513367625,30.003363256468017,76.09416030292431,1.8,4.5,1.8,4.5,0
2019_05_09_mlms003,898,897,900,897,1,0,0,897,5784,5.0,6.448160535117057,7.0,12.0,0,0,897,1.0,0:2228;1:100;2:863;80:2593,4,-9.94,12.27,-1.0987845781466115,6.464591921608782,0.9,23.65,10.43923755186722,3.1362021387418664,1.4867750334196497,23.650763201216147,12.132990377825022,3.8212910479406723,22.163988167796496,-57.353591804246186,48.40996542311242,-8.324326652839092,28.35725325209905,105.7635572273586,0.6,4.5,0.6,4.5,0
2019_05_09_pbms004,898,897,900,897,1,0,0,897,1321,1.0,1.4726867335562988,1.0,3.0,0,478,419,0.46711259754738016,0:554;80:767,2,-5.34429847,1.79797143,-1.9509095318395155,1.7810677176533465,3.96588915,12.52179753,7.608953170590461,1.507652116992695,5.027319316931707,12.522199070490549,8.073836174075122,1.4002153079424524,7.494879753558842,-38.717253306210765,11.677358135001738,-14.994623419769606,13.42165579833243,50.394611441212504,0.6,1.7,0.6,1.7,0
2019_05_09_pcms002,898,896,900,896,2,0,2,894,1268,0.0,1.4151785714285714,1.0,3.0,2,521,373,0.41629464285714285,0:852;2:416,2,-4.50625,7.56875,0.16071569400630914,2.111770266791911,2.73817,19.5205,7.632959929022082,2.6134740378547114,2.7604483238959574,20.93647288376196,7.895849201865846,2.6894780906336075,18.176024559866004,-33.70947233982182,33.09336334461975,-1.5626345906980568,15.035115574267499,66.80283568444158,0.7,4.5,0.7,4.5,0
2019_05_29_bcms000,898,897,900,897,1,0,23,874,911,0.0,1.015607580824972,1.0,2.0,23,837,37,0.04124860646599777,2:8;3:33;7:454;80:416,4,-11.39,12.59,-3.0646212952799123,7.111839855474021,5.51,22.94,17.7007903402854,3.9298542986924714,9.373798589686041,23.865037188322166,19.373340355333173,3.6613640585857583,14.491238598636125,-55.7746250818367,31.84503383731329,-11.634840627283463,22.49333027461817,87.61965891915,0.6,2.6,0.6,15.0,0
2019_05_29_cm1s014,898,897,900,897,1,0,760,137,137,0.0,0.1527313266443701,0.0,1.0,760,137,0,0.0,2:105;3:32,2,-3.85431486,7.16579092,0.5168823256934306,2.986816306631307,4.14777145,18.83402958,10.596754238759123,4.937546923110552,4.785637107659361,20.151159513275392,11.054300648086304,4.864282699892102,15.36552240561603,-39.09254932720089,39.861205048424644,-1.9470218885371966,19.420728073000834,78.95375437562554,1.8,4.5,0.8,4.5,0
2019_05_29_mlms006,898,897,900,897,1,0,0,897,1471,1.0,1.6399108138238574,1.0,3.0,0,472,425,0.4738015607580825,0:525;2:280;80:666,3,-12.67,9.34,-7.068436437797417,4.463175059723388,5.94,23.04,18.03725356900068,3.4158032085833083,9.368244232512302,23.863733991142293,19.9217528900207,3.164919422365562,14.495489758629992,-52.67389815257071,24.674976351179037,-21.73683463752656,14.011572198668432,77.34887450374974,0.6,4.5,0.6,4.5,0
2019_05_29_pbms007,898,897,900,897,1,0,0,897,1965,1.0,2.190635451505017,2.0,3.0,0,6,891,0.9933110367892977,0:1069;3:129;80:767,3,-7.724748,6.25625,-0.07236954300254453,3.1137163009877438,7.50789,19.47634,11.165202422473282,2.06158864538009,7.52622330602142,20.093991237633702,11.540253382427741,2.3312896218015555,12.567767931612282,-30.31653790246691,25.102642222404462,0.2620582811060219,13.763527843721182,55.419180124871374,0.6,1.7,0.6,2.0,0
2019_05_29_pcms005,898,897,900,897,1,0,693,204,327,0.0,0.36454849498327757,0.0,2.0,693,81,123,0.13712374581939799,2:126;80:201,2,10.838690074227925,22.028933470623702,16.31274778597073,4.147795566982872,0.7670482363763229,6.458837718238192,2.982660974947275,1.9045031712708038,10.865797969872943,22.796870250517745,16.62218851156674,4.419976957063043,11.931072280644802,73.38172075195902,85.95195761906695,80.66728487614918,3.951464393324117,12.570236867107923,0.6,1.8,0.6,4.5,0
